"Mun Trab";"mediana"
315840;1089.73
312090;1089.98
312705;1091.38
311670;1091.39
310890;1092.2
316200;1093.43
316230;1093.72
316443;1093.72
310700;1094.58
310320;1094.78
311520;1095.28
313868;1096.04
313850;1096.935
314740;1097.52
312720;1097.58
313780;1098.07
316905;1099.81
314030;1100
317220;1100
312540;1100
313800;1101.91
313310;1102.54
316440;1103.08
313730;1103.1
311230;1103.2
311840;1103.2
310285;1103.2
312965;1103.2
314465;1103.2
310110;1103.2
314053;1103.2
312530;1103.2
310290;1103.2
316000;1103.2
314655;1103.2
316160;1103.2
314420;1103.2
310330;1103.2
316060;1103.2
310650;1103.2
313867;1103.2
316770;1103.64
313150;1104.3
312050;1105.04
316370;1105.46
314015;1105.46
313080;1105.46
312040;1105.46
316140;1105.46
317057;1105.46
314250;1105.46
312970;1105.47
312140;1106
310130;1106.67
315810;1107.6
313220;1108.03
315470;1108.405
314130;1108.555
312015;1108.7
310430;1108.78
312520;1110
316180;1110.635
310830;1110.74
315870;1110.82
314390;1111.19
313545;1112.46
315380;1113.73
311320;1114.24
312360;1114.24
315430;1114.24
314760;1114.24
310120;1115.24
314240;1115.245
311950;1115.4
316980;1115.4
310445;1115.4
314660;1115.4
311450;1115.97
313753;1116.1
316330;1116.33
311000;1116.41
313940;1118.01
310205;1118.96
312100;1119.02
315560;1119.1
313507;1119.6
314470;1119.88
316260;1120
316120;1120.43
311490;1121.88
315140;1122.945
311830;1124.2
315210;1124.2
311940;1124.36
310240;1126.16
315390;1126.34
311740;1126.71
312740;1127.53
314370;1128
312738;1129.43
314960;1130.3
314587;1131.03
315120;1131.61
315900;1133.33
315350;1134.72
316900;1135.7
316080;1136.33
311020;1136.825
314940;1138.3
313570;1138.8
315290;1139.51
314450;1140.19
316490;1142
317090;1142.275
313652;1142.495
313490;1144.04
315415;1144.55
316045;1149
316040;1150
312600;1150.11
315920;1150.72
316640;1151.38
314820;1151.46
315040;1151.645
316250;1152.39
314060;1155
313460;1155.13
312170;1155.16
316470;1155.6
311210;1155.73
313657;1155.96
312350;1156.085
310300;1157.475
315260;1158.31
313350;1158.395
314510;1159.65
316510;1159.7
312640;1160.78
315050;1160.825
315570;1162.025
313550;1162.36
314310;1162.41
313010;1162.59
311060;1163.58
316970;1163.73
311380;1163.83
311010;1164.27
315110;1164.66
312160;1165
311470;1166.14
311560;1166.145
317160;1166.67
314600;1167.04
311640;1168.405
314330;1168.87
316310;1169.8
312310;1170
313530;1170
314890;1170
314340;1170.045
310590;1170.07
310190;1170.37
315160;1171.6
314315;1173.33
316220;1174.11
312270;1175.07
314570;1175.195
310260;1176.59
310010;1177
314437;1178.025
316740;1178.77
311030;1178.885
312830;1179.62
315530;1179.73
313020;1180.08
312410;1182
316170;1182
317080;1182
312610;1182
310740;1182
311260;1182
311530;1182
311510;1182
316090;1182
310855;1182
311400;1182
316430;1182
315200;1182
313230;1182
316150;1182
311580;1182
315970;1182
314640;1182
311270;1182
311150;1182
316750;1182
316730;1182
316670;1182
313830;1182
313430;1182
311720;1182
312385;1182
316130;1182.03
311790;1182.17
312570;1182.34
311660;1182.65
310310;1182.855
317047;1183.12
312890;1184.04
312770;1184.36
310910;1184.38
317060;1185.2
311110;1185.44
310970;1185.66
312700;1186.1
311310;1186.22
313400;1186.25
315360;1189.34
312247;1190.11
313880;1190.31
316050;1190.84
310940;1191.29
312470;1191.51
316700;1191.72
311930;1192.65
315020;1195
314585;1195.62
311850;1197.73
314500;1200
315460;1200
310540;1200
311280;1200
316420;1200
312990;1200
316320;1200
312235;1200.975
316830;1206.59
315445;1208.27
313410;1208.27
311980;1209.31
314080;1210.41
312910;1211.135
312440;1211.6
311610;1211.84
313900;1212
313710;1212.45
315640;1215
312980;1216.325
314280;1218
316990;1219.06
313140;1219.59
314535;1219.95
317130;1222.415
310600;1223.77
313500;1224.53
316935;1225.66
315440;1225.66
315690;1228
317050;1228.13
312870;1229.83
316520;1230
312070;1231.33
312630;1231.975
312675;1232.16
316930;1233.82
314070;1236.425
313750;1237.52
313670;1237.95
314710;1244.04
313360;1249.88
310820;1250
313200;1250.09
312450;1250.9
311700;1251.25
312480;1253.08
311430;1254.53
313300;1254.705
315895;1255.6
312352;1255.6
312120;1256.09
314780;1256.59
313160;1256.885
316720;1260.8
313005;1260.8
313620;1261.16
314810;1263.57
314050;1265
313030;1266
317110;1266.09
314520;1266.74
310760;1268
314790;1268.07
311050;1270.92
310140;1271.21
315960;1272.29
313100;1274.1
313820;1275.835
313420;1280
317040;1281.64
310410;1282.535
310350;1283.565
313630;1284.655
314120;1285.9
310945;1286.24
317070;1287.26
314300;1287.38
317115;1290.56
313720;1293.15
310510;1294
316820;1295.405
311535;1295.8
316870;1296.08
317043;1299
310160;1300
311615;1300
310640;1300
315720;1300.86
312950;1303.57
314650;1304.85
315780;1306.9
315340;1308.58
314350;1317.325
317075;1321.18
314800;1322.93
311990;1325.02
314000;1325.99
313760;1326.71
312230;1327.1
315450;1328.94
315180;1329.11
316960;1330.28
130260;1336.58
314260;1338.115
311040;1339.6
310380;1341.26
314930;1343.13
313040;1350.345
315300;1350.53
