"EMPRESA";"ENDERECO";"NUMERO";"BAIRRO";"CEP";"MUNICIPIO";"UF";"FAIXA_VALOR";"ENDERECO_COMPLETO";"lon";"lat"
"NEW STONE MINERACAO LTDA";"RUA GENERAL VALLE";"101 B";"BANDEIRANTES";78010000;"CUIABA";"MT";"Até US$ 1 milhão";"RUA GENERAL VALLE, 101 B, BANDEIRANTES, CUIABA, MT";-56,0944387;-15,6027982
"IND. E COM. DE MADEIRAS MORUMBI LTDA";"RUA C";"322";"PARQUE INDUSTRIAL";78325000;"ARIPUANA";"MT";"Até US$ 1 milhão";"RUA C, 322, PARQUE INDUSTRIAL, ARIPUANA, MT";-60,63063;-9,179311
"RIO VERMELHO - IMPORTACAO E EXPORTACAO DE DIAMANTES LTD";"AVENIDA NOVE DE MAIO";"540";"MODULO 01";78320000;"JUINA";"MT";"Até US$ 1 milhão";"AVENIDA NOVE DE MAIO, 540, MODULO 01, JUINA, MT";-58,7575756;-11,4217271
"PAULO SERGIO AGUIAR";"R RIO DE JANEIRO";"3175";"PRIMAVERA IV";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"R RIO DE JANEIRO, 3175, PRIMAVERA IV, PRIMAVERA DO LESTE, MT";-54,2939052;-15,5327081
"VOTORANTIM CIMENTOS S.A.";"RODOVIA BR 163/364";"S/N";"TOMBADOR";78460000;"NOBRES";"MT";"Até US$ 1 milhão";"RODOVIA BR 163/364, S/N, TOMBADOR, NOBRES, MT";-56,262711;-14,63176
"CARGILL AGRICOLA S A";"AVENIDA MATO GROSSO";"S/N";"CENTRO";78840000;"CAMPO VERDE";"MT";"Até US$ 1 milhão";"AVENIDA MATO GROSSO, S/N, CENTRO, CAMPO VERDE, MT";-55,1710483;-15,5435784
"MAZE MADEIREIRA ZENI LTDA";"RUA FERNANDO C COSTA";"264";"SETOR INDUSTRIAL";78320000;"JUINA";"MT";"Até US$ 1 milhão";"RUA FERNANDO C COSTA, 264, SETOR INDUSTRIAL, JUINA, MT";-58,7499722;-11,4231835
"LOUIS DREYFUS COMMODITIES BRASIL S.A.";"RODOVIA BR 163, KM 619";"S/N";"ZONA RURAL";78450000;"NOVA MUTUM";"MT";"Até US$ 1 milhão";"RODOVIA BR 163, KM 619, S/N, ZONA RURAL, NOVA MUTUM, MT";-56,1088642;-14,4024697
"SAMUEL MAGGI LOCKS";"AV VEREADOR MARIO PALMA";"172";"JARDIM MARIANA";78040640;"CUIABA";"MT";"Até US$ 1 milhão";"AV VEREADOR MARIO PALMA, 172, JARDIM MARIANA, CUIABA, MT";-56,0978917;-15,6014109
"ROHDEN INDUSTRIA LIGNEA LTDA";"RUA SAMUEL ROHDEN";"350";"CENTRO";78340000;"JURUENA";"MT";"Até US$ 1 milhão";"RUA SAMUEL ROHDEN, 350, CENTRO, JURUENA, MT";-58,4929382;-10,3301562
"VANGUARDA AGRO S.A.";"RODOVIA MT 170, KM 101";"S/N";"ZONA RURAL";78360000;"CAMPO NOVO DO PARECIS";"MT";"Até US$ 1 milhão";"RODOVIA MT 170, KM 101, S/N, ZONA RURAL, CAMPO NOVO DO PARECIS, MT";-57,8929903;-13,6592549
"NIDERA SEMENTES LTDA.";"RUA B";"S/N";"PARQUE INDUSTRIAL I";78746860;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"RUA B, S/N, PARQUE INDUSTRIAL I, RONDONOPOLIS, MT";-54,6133932;-16,4654204
"TEAK WAY INDUSTRIAL EXPORTADORA DE MADEIRAS LTDA  - ME";"RODOVIA MT 175 KM 31";"SNR";"ZONA RURAL";78285000;"SAO JOSE DOS QUATRO MARCOS";"MT";"Até US$ 1 milhão";"RODOVIA MT 175 KM 31, SNR, ZONA RURAL, SAO JOSE DOS QUATRO MARCOS, MT";-58,1777253;-15,6280113
"SIPAL INDUSTRIA E COMERCIO LTDA";"RODOVIA BR 364 KM 970";"S/N";"ZONA RURAL";78350000;"BRASNORTE";"MT";"Até US$ 1 milhão";"RODOVIA BR 364 KM 970, S/N, ZONA RURAL, BRASNORTE, MT";-58,0067574;-12,1254939
"SERVCOM COMERCIO EXTERIOR S/A.";"ANEL VIA CONRADO SALES BRIT";"S/N";"AREAS PERIFERICAS";78700000;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"ANEL VIA CONRADO SALES BRIT, S/N, AREAS PERIFERICAS, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"MARCOS ANDRE MOSCON";"R FRANCISCO GABRIEL SOBRINH";"92";"RESID SAO JOSE";78700090;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"R FRANCISCO GABRIEL SOBRINH, 92, RESID SAO JOSE, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"FLORESTECA S/A";"RODOVIA BR 174, KM 68";"S/N";"GLEBA MIRASSOL DOES";78293000;"GLORIA D'OESTE";"MT";"Até US$ 1 milhão";"RODOVIA BR 174, KM 68, S/N, GLEBA MIRASSOL DOES, GLORIA D'OESTE, MT";-58,3066305;-15,7680196
"VERTENTE AGROPECUARIA LTDA - ME";"RODOVIA BR 364";"S/N";"ZONA RURAL";78360000;"CAMPO NOVO DO PARECIS";"MT";"Até US$ 1 milhão";"RODOVIA BR 364, S/N, ZONA RURAL, CAMPO NOVO DO PARECIS, MT";-57,8929903;-13,6592549
"3F INDUSTRIA E COMERCIO DE MADEIRAS LTDA";"RODOVIA MT 208";"1701";"SETOR DE CHACARAS";78325000;"ARIPUANA";"MT";"Até US$ 1 milhão";"RODOVIA MT 208, 1701, SETOR DE CHACARAS, ARIPUANA, MT";-60,63063;-9,179311
"INMAPEL INDUSTRIA DE MADEIRAS PETRI LTDA - EPP";"AVENIDA ITORORO";"S/N";"CHACARAS";78545000;"SANTA CARMEM";"MT";"Até US$ 1 milhão";"AVENIDA ITORORO, S/N, CHACARAS, SANTA CARMEM, MT";-55,2787719;-11,9738732
"AMAGGI EXPORTACAO E IMPORTACAO LTDA";"RODOVIA MT-320 KM-104 + 20";"S/NR";"ZONA RURAL";78643000;"QUERENCIA";"MT";"Até US$ 1 milhão";"RODOVIA MT-320 KM-104 + 20, S/NR, ZONA RURAL, QUERENCIA, MT";-52,2077548;-12,5943487
"OMNICOTTON AGRI COMERCIAL LTDA";"RUA D";"375";"DISTRITO INDUSTRIAL";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"RUA D, 375, DISTRITO INDUSTRIAL, PRIMAVERA DO LESTE, MT";-54,331415;-15,5800568
"EVANDRO ROBERTO CORTEZIA";"FAZ BELA MIRAGEM";"S/N";"ZONA RURAL";78455000;"LUCAS DO RIO VERDE";"MT";"Até US$ 1 milhão";"FAZ BELA MIRAGEM, S/N, ZONA RURAL, LUCAS DO RIO VERDE, MT";-55,9193214;-13,064847
"GIORGIO NAVA";"R HORIZONTINA";"426-E";"PIONEIRO";78455000;"LUCAS DO RIO VERDE";"MT";"Até US$ 1 milhão";"R HORIZONTINA, 426-E, PIONEIRO, LUCAS DO RIO VERDE, MT";-55,9104524;-13,0561222
"AGROINDUSTRIAL CAMPO REAL LTDA";"AVENIDA A";"100";"DISTRITO IND. JOSE";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"AVENIDA A, 100, DISTRITO IND. JOSE, PRIMAVERA DO LESTE, MT";-54,2950554;-15,5605187
"BACAERI FLORESTAL LTDA";"RODOVIA MT 160 - KM 12";"SN";"RURAL";78580000;"ALTA FLORESTA";"MT";"Até US$ 1 milhão";"RODOVIA MT 160 - KM 12, SN, RURAL, ALTA FLORESTA, MT";-56,0871877;-9,8671497
"MARCOS GENTILIN";"FAZ MORADA DO SOL";NA;"ZONA RURAL";78840000;"CAMPO VERDE";"MT";"Até US$ 1 milhão";"FAZ MORADA DO SOL, , ZONA RURAL, CAMPO VERDE, MT";-55,1677572;-15,550791
"CLAUDIO ANTONIO SQUINZANI CARGNELUTTI";"JULIO DE CASTILHO";"168";"CENTRO";78455000;"LUCAS DO RIO VERDE";"MT";"Até US$ 1 milhão";"JULIO DE CASTILHO, 168, CENTRO, LUCAS DO RIO VERDE, MT";-55,9206761;-13,0679903
"MILTON GARBUGIO";"R ARACAJU";"1544";"JARDIM CAMPO REAL 2";78840000;"CAMPO VERDE";"MT";"Até US$ 1 milhão";"R ARACAJU, 1544, JARDIM CAMPO REAL 2, CAMPO VERDE, MT";-55,1677572;-15,550791
"AGRICOLA ALVORADA LTDA";"RODOVIA MT 110, KM 02";"S/N";"ZONA RURAL";78640000;"CANARANA";"MT";"Até US$ 1 milhão";"RODOVIA MT 110, KM 02, S/N, ZONA RURAL, CANARANA, MT";-52,2691123;-13,5564739
"KIRSCH & CIA LTDA - EPP";"RUA GERALDO KIRSCH";"261";"SETOR INDUSTRIAL";78557132;"SINOP";"MT";"Até US$ 1 milhão";"RUA GERALDO KIRSCH, 261, SETOR INDUSTRIAL, SINOP, MT";-55,4887066;-11,8624486
"CM - INDUSTRIA DE PRODUTOS DE LIMPEZA LTDA";"RUA B";"S/N";"DISTRITO INDUSTRIAL";78098280;"CUIABA";"MT";"Até US$ 1 milhão";"RUA B, S/N, DISTRITO INDUSTRIAL, CUIABA, MT";-55,9814882;-15,6595596
"SANTANA TEXTIL MATO GROSSO S.A.";"ANEL VIARIO CONRADO SALES B";"S/N.";"AREAS INTERNAS";78700970;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"ANEL VIARIO CONRADO SALES B, S/N., AREAS INTERNAS, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"AGROLOGICA AGROMERCANTIL LTDA";"AVENIDA BONIFACIO SACHETTI";"1896";"DISTRITO INDUSTRIAL";78746700;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"AVENIDA BONIFACIO SACHETTI, 1896, DISTRITO INDUSTRIAL, RONDONOPOLIS, MT";-54,6682216;-16,4716474
"MELLBER COMERCIO IMPORTACAO E EXPORTACAO LTDA - EPP";"RUA DESEMBARGADOR FERREIRA";"233";"CENTRO SUL";78005000;"CUIABA";"MT";"Até US$ 1 milhão";"RUA DESEMBARGADOR FERREIRA, 233, CENTRO SUL, CUIABA, MT";-56,1008451;-15,6000197
"ST MADEIRAS LTDA";"RODOVIA MT 242 KM 160";"S/N";"GLEBA RIO FERRO";78888000;"NOVA UBIRATA";"MT";"Até US$ 1 milhão";"RODOVIA MT 242 KM 160, S/N, GLEBA RIO FERRO, NOVA UBIRATA, MT";-55,2540245;-13,0335494
"CMGM MINERACAO LTDA";"AVENIDA CARMINDO DE CAMPOS";"146";"JARDIM PETROPOLIS";78070100;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA CARMINDO DE CAMPOS, 146, JARDIM PETROPOLIS, CUIABA, MT";-56,0693782;-15,6205376
"FRONTEIRA COM DE CEREAIS E REP DE PROD AGROP LTDA";"RUA SILVERIO NADIR DANIELLI";"240";"CENTRO";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"RUA SILVERIO NADIR DANIELLI, 240, CENTRO, PRIMAVERA DO LESTE, MT";-54,3023606;-15,5644389
"BACAERI FLORESTAL LTDA";"RODOVIA MT 208 KM 245";"SN";"ZONA RURAL";78580000;"ALTA FLORESTA";"MT";"Até US$ 1 milhão";"RODOVIA MT 208 KM 245, SN, ZONA RURAL, ALTA FLORESTA, MT";-56,0871877;-9,8671497
"TIO LINO INDUSTRIA DE ALIMENTOS IMPORTACAO E EXPORTACAO";"AVENIDA YPE (LOT C INDUSTRI";"221";"CAPAO DO PEQUI";78134300;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"AVENIDA YPE (LOT C INDUSTRI, 221, CAPAO DO PEQUI, VARZEA GRANDE, MT";-56,1449171;-15,7288501
"CARAMURU ALIMENTOS S/A.";"ESTRADA R-17";"S/N";"SETOR B, ZONA RURAL";78643000;"QUERENCIA";"MT";"Até US$ 1 milhão";"ESTRADA R-17, S/N, SETOR B, ZONA RURAL, QUERENCIA, MT";-52,2077548;-12,5943487
"COOPERATIVA DE CRIADORES DE JACARE DO PANTANAL LTDA";"AVENIDA TANNERY";"S/N";"DISTRITO INDUSTRIAL";78200000;"CACERES";"MT";"Até US$ 1 milhão";"AVENIDA TANNERY, S/N, DISTRITO INDUSTRIAL, CACERES, MT";-57,6823043;-16,0768443
"ELOI BRUNETTA";"AV DAS PALMEIRAS";"234";"CIDADE JARDIM";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"AV DAS PALMEIRAS, 234, CIDADE JARDIM, PRIMAVERA DO LESTE, MT";-54,2950554;-15,5605187
"L V R COMERCIO E EXTRACAO MINERAL LTDA";"RUA ANTONIO MARTINS";"248";"MODULO 02";78320000;"JUINA";"MT";"Até US$ 1 milhão";"RUA ANTONIO MARTINS, 248, MODULO 02, JUINA, MT";-58,7616871;-11,4236454
"FROHART INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS";"AVENIDA ITRIO CORREA DA COS";"1313";"CIDADE SALMEN";78705162;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"AVENIDA ITRIO CORREA DA COS, 1313, CIDADE SALMEN, RONDONOPOLIS, MT";-54,6615134;-16,4580869
"KEYWOODS COMERCIO,INDUSTRIA,IMPORTACAO E EXPORTACAO DE";"ESTRADA DO AEROPORTO";"SN";"CENTRO";78593000;"NOVA MONTE VERDE";"MT";"Até US$ 1 milhão";"ESTRADA DO AEROPORTO, SN, CENTRO, NOVA MONTE VERDE, MT";-57,4673472;-9,9797352
"SIPAL INDUSTRIA E COMERCIO LTDA";"AVENIDA PRINCIPAL";"S/N";"DISTRITO DE BOA ESP";78890000;"SORRISO";"MT";"Até US$ 1 milhão";"AVENIDA PRINCIPAL, S/N, DISTRITO DE BOA ESP, SORRISO, MT";-55,7215367;-12,5429456
"COOPERATIVA DE DESENVOLVIMENTO AGRICOLA";"AVENIDA DAS ACACIAS";"2430-W";"BANDEIRANTES";78455000;"LUCAS DO RIO VERDE";"MT";"Até US$ 1 milhão";"AVENIDA DAS ACACIAS, 2430-W, BANDEIRANTES, LUCAS DO RIO VERDE, MT";-55,9333339;-13,0696756
"JULIANE BORCHARDT LARA CUNHA - EPP";"RODOVIA MT 140";"SN";"CHACARAS SINOP";78550970;"SINOP";"MT";"Até US$ 1 milhão";"RODOVIA MT 140, SN, CHACARAS SINOP, SINOP, MT";-55,5095451;-11,8608456
"COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME";"RUA BOA VISTA";"83";"CENTRO";78200000;"CACERES";"MT";"Até US$ 1 milhão";"RUA BOA VISTA, 83, CENTRO, CACERES, MT";-57,6909852;-16,066876
"HENRIQUE PINHEIRO BERTO";"RDV MT 140";"KM 20";"ZONA RURAL";78840000;"CAMPO VERDE";"MT";"Até US$ 1 milhão";"RDV MT 140, KM 20, ZONA RURAL, CAMPO VERDE, MT";-55,1677572;-15,550791
"JOSE JORGE CIMADON";"R SAO SALVADOR";"1159";"CENTRO";78840000;"CAMPO VERDE";"MT";"Até US$ 1 milhão";"R SAO SALVADOR, 1159, CENTRO, CAMPO VERDE, MT";-55,1731676;-15,5474714
"REXAM AMAZONIA LTDA.";"RUA O";"SN";"DISTRITO INDUSTRIAL";78098410;"CUIABA";"MT";"Até US$ 1 milhão";"RUA O, SN, DISTRITO INDUSTRIAL, CUIABA, MT";-55,9971326;-15,6596858
"GRUPO Z2 IMPORTACAO E EXPORTACAO ELETRO-ELETRONICOS LTD";"RUA ITAPEAIRU MIRIM";"16";"MORADA DA SERRA CPA";78055230;"CUIABA";"MT";"Até US$ 1 milhão";"RUA ITAPEAIRU MIRIM, 16, MORADA DA SERRA CPA, CUIABA, MT";-56,0528958;-15,5529718
"EDILSON ANTONIO PIAIA";"R GOIAS";"79";"CENTRO";78360000;"CAMPO NOVO DO PARECIS";"MT";"Até US$ 1 milhão";"R GOIAS, 79, CENTRO, CAMPO NOVO DO PARECIS, MT";-57,8894395;-13,6542709
"J K ABRAO - COMERCIO - ME";"RUA OSWALDO CORREIA";"378";"JARDIM PAULISTA";78700760;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"RUA OSWALDO CORREIA, 378, JARDIM PAULISTA, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.";"AVENIDA ISAAC POVOAS";"1558";"DUQUE DE CAXIAS 1";78043322;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA ISAAC POVOAS, 1558, DUQUE DE CAXIAS 1, CUIABA, MT";-56,10752;-15,5916721
"SILSAN COMERCIO INDUSTRIA E REPRESENTACOES LIMITADA - E";"ALD  AMALIA CURVO DE CAMPOS";"100";"VILA MARIA";78110798;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"ALD  AMALIA CURVO DE CAMPOS, 100, VILA MARIA, VARZEA GRANDE, MT";-56,1342967;-15,6604787
"PROTECA BIOTECNOLOGIA FLORESTAL LTDA";"ESTRADA DO AGUACU";"S/N";"ZONA RURAL";78110000;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"ESTRADA DO AGUACU, S/N, ZONA RURAL, VARZEA GRANDE, MT";-56,1327131;-15,646248
"FERTILIZANTES CELERE EIRELI";"VIA ANEL VIARIO CONRADO S B";"639";"GRANVILLE";78731218;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"VIA ANEL VIARIO CONRADO S B, 639, GRANVILLE, RONDONOPOLIS, MT";-54,6387229;-16,4654757
"GLOBO QUIMICA INDUSTRIA E COMERCIO DE PROD QUIMICOS LTD";"AVENIDA CRUZEIRO DO SUL";"670";"JARDIM DOS ESTADOS";78158200;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"AVENIDA CRUZEIRO DO SUL, 670, JARDIM DOS ESTADOS, VARZEA GRANDE, MT";-56,1759251;-15,6408816
"L G MADEIRAS LTDA - EPP";"ESTRADA ROSALIA";"S/N";"ZONA RURAL";78559970;"SINOP";"MT";"Até US$ 1 milhão";"ESTRADA ROSALIA, S/N, ZONA RURAL, SINOP, MT";-55,5095451;-11,8608456
"EDSON MARCOS SCHUCK - EPP";"ESTRADA DO OLEO";"S/N";"INDUSTRIAL";78335000;"COLNIZA";"MT";"Até US$ 1 milhão";"ESTRADA DO OLEO, S/N, INDUSTRIAL, COLNIZA, MT";-59,2229749;-9,4636688
"TBM - TEXTIL BEZERRA DE MENEZES S/A";"RODOVIA BR 163 KM 109";"S/N";"ZONA RURAL";78700000;"RONDONOPOLIS";"MT";"Até US$ 1 milhão";"RODOVIA BR 163 KM 109, S/N, ZONA RURAL, RONDONOPOLIS, MT";-56,1088642;-14,4024697
"VANGUARDA DO BRASIL S.A.";"RODOVIA BR 364 KM 203";"S/N";"NOVO DIAMANTINO";78400000;"DIAMANTINO";"MT";"Até US$ 1 milhão";"RODOVIA BR 364 KM 203, S/N, NOVO DIAMANTINO, DIAMANTINO, MT";-56,3964126;-14,3752171
"BERNARD GONTRAN HENRY RENE ALBIN CRAPOUSE";"R F";"27";"ASA BELA";78110000;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"R F, 27, ASA BELA, VARZEA GRANDE, MT";-56,1721737;-15,6501403
"COOGAP-COOPERATIVA DE MINERACAO DOS GARIMPEIROS DE POXO";"AVENIDA BRASIL";"S/N";"B. JOAO PESSOA";78800000;"POXOREO";"MT";"Até US$ 1 milhão";"AVENIDA BRASIL, S/N, B. JOAO PESSOA, POXOREO, MT";-54,3911994;-15,8346525
"QUEIROZ GALVAO OLEO E GAS S/A";"AVENIDA DAS PERDIZES";"434";"JOSE APARECIDO RIBE";78450000;"NOVA MUTUM";"MT";"Até US$ 1 milhão";"AVENIDA DAS PERDIZES, 434, JOSE APARECIDO RIBE, NOVA MUTUM, MT";-56,0748066;-13,837813
"DAVOS COMERCIAL E EXPLORACAO MINERAL LTDA";"AVENIDA LODERITES DA ROSA C";"203";"MODULO 03";78320000;"JUINA";"MT";"Até US$ 1 milhão";"AVENIDA LODERITES DA ROSA C, 203, MODULO 03, JUINA, MT";-58,7616871;-11,4136313
"GUAVIRA INDUSTRIAL E AGROFLORESTAL LTDA.";"RUA MARANHAO";"500";"DISTRITO INDUSTRIAL";78435000;"SAO JOSE DO RIO CLARO";"MT";"Até US$ 1 milhão";"RUA MARANHAO, 500, DISTRITO INDUSTRIAL, SAO JOSE DO RIO CLARO, MT";-56,7223351;-13,4402389
"MIX DA AMAZONIA COMERCIAL E INDUSTRIAL LTDA - EPP";"RUA B";"729";"DISTRITO INDUSTRIAL";78098280;"CUIABA";"MT";"Até US$ 1 milhão";"RUA B, 729, DISTRITO INDUSTRIAL, CUIABA, MT";-55,9692889;-15,6646153
"FLORESTECA S/A";"RODOVIA MT 246, KM 33";"SN";"ZONA RURAL";78270000;"SALTO DO CEU";"MT";"Até US$ 1 milhão";"RODOVIA MT 246, KM 33, SN, ZONA RURAL, SALTO DO CEU, MT";-58,1322278;-15,1307713
"NOBLE BRASIL S.A.";"RUA POXOREO";"99";"CENTRO";78850000;"PRIMAVERA DO LESTE";"MT";"Até US$ 1 milhão";"RUA POXOREO, 99, CENTRO, PRIMAVERA DO LESTE, MT";-54,2973512;-15,5590992
"LOUIS DREYFUS COMMODITIES BRASIL S.A.";"AVENIDA PREFEITO ANDRE ANTO";"S/N";"CENTRO";78365000;"SAPEZAL";"MT";"Até US$ 1 milhão";"AVENIDA PREFEITO ANDRE ANTO, S/N, CENTRO, SAPEZAL, MT";-58,820385;-13,5479905
"MOINHO REGIO ALIMENTOS S/A";"RUA D";"1600";"DISTRITO INDUSTRIAL";78098300;"CUIABA";"MT";"Até US$ 1 milhão";"RUA D, 1600, DISTRITO INDUSTRIAL, CUIABA, MT";-55,9752809;-15,6635511
"ARROZEIRA SOMAR LTDA";"AVENIDA DAS SAMAMBAIAS";"2015 N";"INDUSTRIAL NORTE";78450000;"NOVA MUTUM";"MT";"Até US$ 1 milhão";"AVENIDA DAS SAMAMBAIAS, 2015 N, INDUSTRIAL NORTE, NOVA MUTUM, MT";-56,0748066;-13,837813
"LOUIS DREYFUS COMMODITIES BRASIL S.A.";"RODOVIA MT 242, KM 55";"S/N";"ZONA RURAL";78890000;"SORRISO";"MT";"Até US$ 1 milhão";"RODOVIA MT 242, KM 55, S/N, ZONA RURAL, SORRISO, MT";-55,7215367;-12,5429456
"SEEDCORP PRODUCAO E COMERCIALIZACAO DE SEMENTES LTDA";"RODOVIA BR 364";"S/N";"ZONA RURAL";78795000;"PEDRA PRETA";"MT";"Até US$ 1 milhão";"RODOVIA BR 364, S/N, ZONA RURAL, PEDRA PRETA, MT";-54,4814404;-16,621352
"PROTECA BIOTECNOLOGIA FLORESTAL LTDA";"AVENIDA HIST RUBENS DE MEND";"1894";"BOSQUE DA SAUDE";78050000;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA HIST RUBENS DE MEND, 1894, BOSQUE DA SAUDE, CUIABA, MT";-56,0800886;-15,5849511
"LOUIS DREYFUS COMMODITIES BRASIL S.A.";"AVENIDA DAS PALMEIRAS";"529";" SETOR RESIDENCIAL";78550332;"SINOP";"MT";"Até US$ 1 milhão";"AVENIDA DAS PALMEIRAS, 529,  SETOR RESIDENCIAL, SINOP, MT";-55,4976031;-11,8490705
"CARAMORI MAQUINAS E EQUIPAMENTOS LTDA";"AVENIDA AYRTON SENNA DA SIL";"LT 07";"DISTRITO INDUSTRIAL";78098970;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA AYRTON SENNA DA SIL, LT 07, DISTRITO INDUSTRIAL, CUIABA, MT";-56,0036136;-15,6481155
"TRANSPARENCIA MODA INTIMA LTDA - ME";"RUA ANTONIO MARIA";"577";"CENTRO";78020000;"CUIABA";"MT";"Até US$ 1 milhão";"RUA ANTONIO MARIA, 577, CENTRO, CUIABA, MT";-56,0993338;-15,6015565
"ACOMAQUINAS FABRICACAO E COMERCIO LTDA";"RUA O";"SN";"LOTEAMENTO JARDIM D";78158075;"VARZEA GRANDE";"MT";"Até US$ 1 milhão";"RUA O, SN, LOTEAMENTO JARDIM D, VARZEA GRANDE, MT";-56,1327131;-15,646248
"FIBRA INDUSTRIA COMERCIO E IMPORTACAO LTDA";"AVENIDA ANTARTICA";"12";"SUCURI";78040500;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA ANTARTICA, 12, SUCURI, CUIABA, MT";-56,1223601;-15,5801482
"CARRION & CARRACEDO LTDA - EPP";"AVENIDA SENADOR METELLO";"10";"JARDIM CUIABA";78020300;"CUIABA";"MT";"Até US$ 1 milhão";"AVENIDA SENADOR METELLO, 10, JARDIM CUIABA, CUIABA, MT";-56,120596;-15,5945885
"DOW AGROSCIENCES SEMENTES & BIOTECNOLOGIA BRASIL LTDA";"RODOVIA MT 242 KM 15";"SN";"ZONA RURAL";78890000;"SORRISO";"MT";"Até US$ 1 milhão";"RODOVIA MT 242 KM 15, SN, ZONA RURAL, SORRISO, MT";-55,7215367;-12,5429456
