"CO_PAIS";"NO_PAIS_POR";"VL_FOB"
"823";"Turcas e Caicos, Ilhas";3341907
"824";"Turcomenistão";2747288
"827";"Turquia";1335561698
"831";"Ucrânia";84619099
"833";"Uganda";5967203
"845";"Uruguai";2726867064
"847";"Uzbequistão";9963015
"850";"Venezuela";2986603820
"858";"Vietnã";2124310401
"863";"Virgens, Ilhas (Britânicas)";16281113
"866";"Virgens, Ilhas (Americanas)";177698
"870";"Fiji";1031909
"888";"Congo, República Democrática";42099117
"890";"Zâmbia";5334118
"990";"Provisão de Navios e Aeronaves";2426895612
"994";"A Designar";3263
